Timestamp,Voltage,Current,Temperature,InternalResistance,SOC,SOH
0,4.182730127900702,-3.270992963649797,27.29803251522351,51.28452301900525,100.0,99.93248217250256
1,4.197946044264116,-5.775834828240967,27.06756151260205,48.45956201641115,99.88084283690816,99.98304813292845
2,4.200360337440889,-3.736358985927297,25.83395932897288,50.57617372103716,100.0,99.91575800790001
3,4.2094526069168685,-6.423178629844013,29.03707085937587,50.657591845889485,100.0,99.9617038470361
4,4.168856711885743,8.038322156757655,29.42552803484618,48.339562449698434,99.68282326261331,99.80063853330462
5,4.207445022984876,-2.056262273657423,26.210378904799374,50.79850133790722,99.63280645899414,100.0
6,4.145912167367944,-5.094413900512653,26.71570914738742,50.90636478476973,100.0,99.98512054753623
7,4.187402308952724,-1.031843179681342,26.141369156846427,49.886632152957624,100.0,99.90079113689318
8,4.182615275634759,-3.5892766638700895,26.059139448801094,51.252346362298006,99.3650627069825,100.0
9,4.210519195432265,4.88838507626652,27.364705883539582,51.13645557432484,99.8210549092367,100.0
10,4.191669109395912,9.424398237709887,31.18414326524192,50.47462989859101,99.26804102853123,99.8142440135631
11,4.162491058750627,-1.2393268660470635,24.986329197213387,49.75609956538831,99.21685998564608,99.89622752214338
12,4.174548309312155,7.220667999444807,27.067344742649542,49.24100057737451,99.52068098570797,99.89308576502127
13,4.184690016772025,1.3172614711923902,24.63858354372608,50.21541711085557,98.39303471508981,99.87350968988912
14,4.17966494406658,-6.85528669811533,29.456942175745287,50.56975891970418,98.43719090865594,100.0
15,4.1760392903807135,3.812454841626831,27.198458558193625,49.789588366713915,98.96848104778572,99.94311738612272
16,4.1747015350865535,0.2686899425164029,25.045467592569448,47.9354019630001,98.69318423973274,99.93354851586894
17,4.205603741387482,3.0121304650420697,26.039471427209467,51.754486367457936,99.30669845369134,99.75711376355932
18,4.173392601388138,7.7937482514333,29.42723403326984,50.190223221844896,98.64553773712684,100.0
19,4.17835865005998,-1.191308586879078,24.794049442449314,49.96322718229387,98.34337291171354,99.82857416051465
20,4.24018662137364,8.023552464347112,29.367441800816152,50.94517186237,99.73232413433573,99.95599326302664
21,4.157565386307827,5.013380285633097,26.82793557400359,51.57416320889112,98.83658658712542,99.97523769379582
22,4.150161711294984,-0.2279014824403056,24.271291355945095,47.19808843051211,98.9332138272064,100.0
23,4.193316400726966,2.0644427131592735,25.452233921754626,50.8110277297459,98.13705061924945,99.81161796008809
24,4.168753638825166,-3.488377349619771,26.42878122832592,49.29725322035382,98.52720833758734,99.63804878441792
25,4.179293281231531,9.671945994775484,29.84964316145404,50.58734059784821,98.80483598219861,99.95588495447537
26,4.161863107070893,3.3470232610079194,26.973967425615076,50.12792720237458,98.12385288612627,100.0
27,4.180850081242697,-9.123062950067402,25.940666183605256,50.63572652644055,98.837173671504,100.0
28,4.211558525900313,-3.4675618850398244,25.99613038477315,49.5988205024504,98.29898030486551,99.95096594152747
29,4.1968837023214265,2.4662886751811506,25.914074360234537,48.37008712530726,98.40342776242203,99.8783363814368
30,4.195625226062112,-8.873334444015203,31.01672926061593,49.549631808743335,98.1983963186977,100.0
31,4.164179823338874,-9.522316173617146,28.75865547842644,50.756556875080676,99.37536370456063,99.82514538002955
32,4.157686337118114,-0.999515209443949,25.742554222821884,51.08012077480398,98.39245098743093,99.96763577693562
33,4.11706225628408,-3.3461964061466,28.25062851280914,48.89207466769414,97.82031912281569,99.96804701591667
34,4.168337447948412,-1.234027839336683,24.38904538972107,51.02706042687302,98.71042203083898,100.0
35,4.190798496575261,-4.746133802399896,27.85454212706435,49.35212771035348,97.63870273729563,100.0
36,4.189981306482294,-6.705645061140382,27.64055069663567,50.46396668815879,98.30353134727726,99.94924159671787
37,4.161600608444902,3.782867139606754,26.479299827514144,49.77689877227588,97.16923947532874,99.85660363742925
38,4.168773472329397,0.29142232535600954,24.437600328724688,50.377285490150506,97.43495650031316,99.9024425687808
39,4.16399175071078,-5.996915775012663,27.364100579090447,51.44069281554809,98.14745513019069,99.7255924095111
40,4.184513971125006,-3.608211474800034,29.626017885306513,49.111928548929264,98.36823278974758,99.8305286868911
41,4.191733469123675,1.8361581532665188,26.865034948704924,49.6069505908758,98.03465862783861,99.85657175618869
42,4.141775768254309,-8.555413034550444,30.48444437906143,50.49978026692901,97.84112533354325,99.84259116020654
43,4.178373425129985,-7.0509398146764095,29.124963394174703,52.586112686623615,97.69837261443647,99.90773548720337
44,4.183364358873587,-8.535087917852199,27.77128717052414,49.5212942743096,97.05963845454114,99.80775800676179
45,4.160365422216987,6.246346654282377,28.630631297464497,52.04092775253202,97.38895233302125,99.99960306673245
46,4.1836363727132015,5.0481846642401855,28.712021946627438,52.23438189069151,97.46853003923246,99.88502070649183
47,4.234421715193237,5.0662586375851415,26.79722984475346,50.139548913526134,98.17738552531556,99.88156996788614
48,4.1711604466740715,4.326506869520561,28.248580101921405,50.00742641710271,97.77060854448409,99.8472105283487
49,4.167873192714254,3.3877084733973835,27.52069044655277,49.52189666456351,96.66725430951223,99.8930190683859
